date,ticker,shares,price,aum
2026-07-15,EWJ,227850000.0,93.5,22312462336.0
2026-07-15,JPXN,1950000.0,99.8433,134359136.0
2026-07-15,SCJ,1800000.0,106.69,233799136.0
2026-07-16,EWJ,227850000.0,93.5,22312462336.0
2026-07-16,JPXN,1950000.0,99.8433,134359136.0
2026-07-16,SCJ,1800000.0,106.69,233799136.0
2026-07-22,EWJ,227850000.0,92.19,22312462336.0
2026-07-22,JPXN,1950000.0,98.4394,134359136.0
2026-07-22,SCJ,1800000.0,104.39,233799136.0
2026-07-23,EWJ,227850000.0,91.1,22312462336.0
2026-07-23,JPXN,1950000.0,97.13,134359136.0
2026-07-23,SCJ,1800000.0,103.08,233799136.0
2026-07-26,EWJ,227850000.0,91.21,22312462336.0
2026-07-26,JPXN,1950000.0,97.8547,134359136.0
2026-07-26,SCJ,1800000.0,104.66,233799136.0
2026-07-27,EWJ,227850000.0,91.51,22312462336.0
2026-07-27,JPXN,1950000.0,98.212,134359136.0
2026-07-27,SCJ,1800000.0,106.086,233799136.0
2026-07-28,EWJ,227850000.0,89.83,22312462336.0
2026-07-28,JPXN,1950000.0,96.6591,134359136.0
2026-07-28,SCJ,1800000.0,104.28,233799136.0
2026-07-29,JPXN,1950000.0,96.27,134359136.0
2026-07-30,JPXN,1950000.0,100.137,134359136.0
2026-08-02,JPXN,1950000.0,99.4724,134359136.0
2026-08-03,JPXN,1950000.0,99.74,134359136.0
2026-08-04,JPXN,1950000.0,101.459,134359136.0
2026-08-05,JPXN,1950000.0,102.302,134359136.0
2026-08-07,EWJ,227850000.0,95.15,21752143872.0
2026-08-07,JPXN,1950000.0,102.209,133984968.0
2026-08-07,SCJ,1800000.0,108.592,252532256.0
2026-08-11,EWJ,227850000.0,96.28,21752143872.0
2026-08-11,JPXN,1950000.0,103.397,133984968.0
2026-08-11,SCJ,1800000.0,108.552,252532256.0
2026-08-12,JPXN,1950000.0,104.706,133984968.0
