date,code,score,gap_pct,score_raw,ignition,rs20,rs_days,sv
2026-07-15,7735,40.5,0.0,,,,,
2026-07-15,6323,40.0,0.0,,,,,
2026-07-15,6871,35.0,0.0,,,,,
2026-07-15,8035,34.7,0.0,,,,,
2026-07-15,6315,34.2,0.0,,,,,
2026-07-15,7729,34.2,0.0,,,,,
2026-07-15,6857,34.2,0.0,,,,,
2026-07-15,6083,32.8,0.0,,,,,
2026-07-15,7085,32.7,0.0,,,,,
2026-07-15,6920,32.0,0.0,,,,,
2026-07-15,3993,30.5,0.0,,,,,
2026-07-15,1377,28.1,0.0,,,,,
2026-07-15,7184,27.0,0.0,,,,,
2026-07-15,8704,27.0,0.0,,,,,
2026-07-15,8707,26.7,0.0,,,,,
2026-07-15,8613,26.7,0.0,,,,,
2026-07-15,6146,26.5,0.0,,,,,
2026-07-15,8624,26.2,0.0,,,,,
2026-07-15,8511,26.2,0.0,,,,,
2026-07-15,4062,26.0,0.0,,,,,
2026-07-15,6058,26.0,0.0,,,,,
2026-07-15,7381,25.9,0.0,,,,,
2026-07-15,8411,25.8,0.0,,,,,
2026-07-15,8604,25.8,0.0,,,,,
2026-07-15,8609,25.7,0.0,,,,,
2026-07-15,7513,25.6,0.0,,,,,
2026-07-15,7979,25.5,0.0,,,,,
2026-07-15,5805,25.2,0.0,,,,,
2026-07-15,8616,25.0,0.0,,,,,
2026-07-15,8387,25.0,0.0,,,,,
2026-07-15,8551,25.0,0.0,,,,,
2026-07-15,3663,24.9,0.0,,,,,
2026-07-15,8876,24.8,0.0,,,,,
2026-07-15,4980,24.7,0.0,,,,,
2026-07-15,7730,24.5,0.0,,,,,
2026-07-15,8362,24.5,0.0,,,,,
2026-07-15,9433,24.4,0.0,,,,,
2026-07-15,7350,24.3,0.0,,,,,
2026-07-15,9837,24.3,0.0,,,,,
2026-07-15,6474,24.1,0.0,,,,,
2026-07-15,8508,24.0,0.0,,,,,
2026-07-15,7745,24.0,0.0,,,,,
2026-07-15,9278,23.7,0.0,,,,,
2026-07-15,9324,23.6,0.0,,,,,
2026-07-15,7846,23.5,0.0,,,,,
2026-07-15,3148,23.1,0.0,,,,,
2026-07-15,2805,23.0,0.0,,,,,
2026-07-15,8345,23.0,0.0,,,,,
2026-07-15,5186,23.0,0.0,,,,,
2026-07-15,4746,23.0,0.0,,,,,
2026-07-15,8358,22.8,0.0,,,,,
2026-07-15,5802,22.7,0.0,,,,,
2026-07-15,6617,22.7,0.0,,,,,
2026-07-15,3276,22.5,0.0,,,,,
2026-07-15,7711,22.5,0.0,,,,,
2026-07-15,7011,22.3,0.0,,,,,
2026-07-15,9274,22.3,0.0,,,,,
2026-07-15,5801,22.2,0.0,,,,,
2026-07-15,8708,22.2,0.0,,,,,
2026-07-15,5803,22.2,0.0,,,,,
2026-07-15,8008,22.1,0.0,,,,,
