code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6857,アドバンテスト,電気機器,31.2,★☆☆☆☆,16.2,6.0,2.0,0.0,0.0,7.0,0.0,0.0,見送り(地合い🔴),Skyworks,6.2,-3.4,7.3,-9.7,23477,27505.0,-7.8,1.6,263552,Skyworks+4.0%連動(β0.42) 未反応+6.2% / HBM・後工程(-12.4%) / 増収+41% / ROE58%
4980,デクセリアルズ,化学,30.1,★☆☆☆☆,15.6,6.0,0.0,0.0,0.0,8.5,0.0,0.0,見送り(地合い🔴),Skyworks,12.0,-17.8,6.4,-18.6,3061,3509.0,-15.2,1.2,9110,Skyworks+4.0%連動(β0.36) 未反応+12.0% / 光通信・電線(-12.9%) / ROE27% / PER22倍
7729,東京精密,精密機器,29.4,★☆☆☆☆,15.4,6.0,1.0,0.0,1.0,6.0,0.0,0.0,見送り(地合い🔴),Skyworks,10.7,-5.1,7.3,-10.7,14568,17055.0,-9.8,1.4,8977,Skyworks+4.0%連動(β0.34) 未反応+10.7% / HBM・後工程(-12.4%)
6504,富士電機,電気機器,29.1,★☆☆☆☆,14.6,6.0,1.0,0.0,0.0,7.5,0.0,0.0,見送り(地合い🔴),Skyworks,6.6,-7.4,4.9,-11.4,10932,12110.0,-7.1,1.4,12032,Skyworks+4.0%連動(β0.26) 未反応+6.6% / AIデータセンター・電力(-6.1%) / PER18倍
4062,イビデン,電気機器,28.6,★☆☆☆☆,16.6,6.0,1.0,0.0,0.0,5.0,0.0,0.0,見送り(地合い🔴),Skyworks,17.9,-26.2,13.5,-29.3,11456,15685.0,-22.7,1.3,197213,Skyworks+4.0%連動(β0.46) 未反応+17.9% / HBM・後工程(-12.4%) / 増収+19%
6954,ファナック,電気機器,27.8,★☆☆☆☆,14.8,6.0,1.0,0.0,0.0,6.0,0.0,0.0,見送り(地合い🔴),Skyworks,5.7,-1.2,5.0,-8.2,5969,6637.0,-7.3,1.4,40260,Skyworks+4.0%連動(β0.28) 未反応+5.7% / ロボット(-17.3%)
6506,安川電機,電気機器,27.4,★☆☆☆☆,15.4,6.0,3.0,0.0,0.0,3.0,0.0,0.0,見送り(地合い🔴),Skyworks,15.7,-18.2,10.1,-24.2,4080,5116.0,-26.6,1.7,48120,Skyworks+4.0%連動(β0.34) 未反応+15.7% / ロボット(-17.3%)
6146,ディスコ,機械,27.3,★☆☆☆☆,15.8,6.0,0.0,0.0,0.0,5.5,0.0,0.0,見送り(地合い🔴),Skyworks,10.1,-13.7,7.5,-16.9,55104,64780.0,-10.7,1.2,114521,Skyworks+4.0%連動(β0.38) 未反応+10.1% / HBM・後工程(-12.4%) / ROE25%
6323,ローツェ,機械,27.2,★☆☆☆☆,16.0,6.0,3.0,0.0,2.2,0.0,0.0,0.0,見送り(地合い🔴),Skyworks,7.6,0.5,9.7,-5.6,3545,4403.0,-5.4,1.4,12996,Skyworks+4.0%連動(β0.40) 未反応+7.6% / 半導体製造装置(-9.4%)
6920,レーザーテック,電気機器,27.2,★☆☆☆☆,16.2,6.0,1.0,0.0,0.0,4.0,0.0,0.0,見送り(地合い🔴),Skyworks,8.1,-13.7,8.4,-13.7,34834,41890.0,-5.6,1.5,164706,Skyworks+4.0%連動(β0.42) 未反応+8.1% / 半導体製造装置(-9.4%) / ROE44%
5803,フジクラ,非鉄金属,27.0,★☆☆☆☆,15.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,見送り(地合い🔴),GE Vernova,11.9,-3.4,9.2,-16.0,3647,4472.0,-13.2,1.0,272744,GE Vernova+2.3%連動(β0.53) 未反応+11.9% / 光通信・電線(-12.9%) / 増収+22% / ROE32%
3923,ラクス,情報・通信業,26.8,★☆☆☆☆,6.6,0.0,2.0,0.0,8.0,8.5,1.7,0.0,見送り(地合い🔴),Microsoft,1.4,21.2,3.9,5.1,936,1015.5,-2.0,0.7,1662,Microsoft+1.7%連動(β0.60) 未反応+1.4% / MA上昇配列 / 開示[資本業務提携](6日前) / 増収+20% / ROE55%
5801,古河電気工業,非鉄金属,26.6,★☆☆☆☆,14.6,6.0,0.0,0.0,0.0,6.0,0.0,0.0,見送り(地合い🔴),GE Vernova,10.2,-28.9,10.0,-23.2,2607,3262.0,-12.4,0.9,114685,GE Vernova+2.3%連動(β0.47) 未反応+10.2% / 光通信・電線(-12.9%) / ROE19%
9069,センコーグループホールディングス,陸運業,25.9,★☆☆☆☆,0.0,0.0,4.3,0.0,13.7,5.5,2.4,0.0,見送り(地合い🔴),,0.0,26.5,2.1,10.7,2101,2195.0,7.0,1.4,756,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 開示[自己株式の取得](3日前) / PER19倍
7735,ＳＣＲＥＥＮホールディングス,電気機器,25.5,★☆☆☆☆,15.3,6.0,2.0,0.0,2.2,0.0,0.0,0.0,見送り(地合い🔴),Skyworks,8.3,8.6,8.8,-4.2,13589,16510.0,-9.0,1.5,63392,Skyworks+4.0%連動(β0.33) 未反応+8.3% / 半導体製造装置(-9.4%)
