code,name,sector,score,score_raw,days_in_top,rank,stars,linkage,ignition,rs_days,rs_slope,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6857,アドバンテスト,電気機器,44.4,44.0,5,1,★★★☆☆,10.6,11.0,19,1.8,11.6,0.0,0.0,9.5,0.0,1.3,0.0,監視,NASDAQ,0.0,19.0,5.5,7.2,31537,35400.0,-1.4,0.5,294623,高値圏かつ未過熱 / NASDAQ+2.2%連動(β1.23) 実反応+2.6% / HBM・後工程(+2.8%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](8日前)
7177,ＧＭＯフィナンシャルホールディングス,証券、商品先物取引業,38.2,38.2,1,2,★★☆☆☆,0.0,14.0,7,-1.9,0.0,2.0,0.0,13.7,8.5,0.0,0.0,監視,,0.0,4.5,2.1,8.9,1151,1201.0,6.7,0.7,244,RS転換7日目 / 25MA上抜け6日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / ROE21% / PER13倍
8368,百五銀行,銀行業,37.9,36.5,2,3,★★☆☆☆,0.0,11.5,35,13.5,0.0,2.0,0.0,15.0,8.0,0.0,0.0,,,0.0,22.1,3.5,12.4,2269,2442.0,8.2,0.3,1913,RS加速+13.5 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+48% / PER22倍
6508,明電舎,電気機器,37.8,38.4,5,4,★★☆☆☆,0.0,13.0,19,8.0,11.9,4.0,0.0,9.5,0.0,0.0,0.0,,,0.0,34.9,4.7,10.0,10806,11920.0,3.8,0.2,4074,RS加速+8.0 / 高値圏かつ未過熱 / AIデータセンター・電力(+3.0%) / 資金流入増 / MA上昇配列 / パーフェクトオーダー
4373,シンプレクス・ホールディングス,情報・通信業,37.5,37.5,1,5,★★☆☆☆,0.0,12.0,0,-12.3,0.0,2.0,0.0,15.0,8.5,0.0,0.0,,,0.0,1.1,3.1,10.8,1186,1265.0,8.5,1.2,1070,RS転換0日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+20% / ROE22%
5076,インフロニア・ホールディングス,建設業,37.3,37.3,1,6,★★☆☆☆,0.0,14.0,1,4.6,0.0,3.3,0.0,12.0,8.0,0.0,0.0,,,0.0,2.4,2.6,5.2,2697,2845.5,3.3,0.1,4583,RS転換1日目 / RS加速+4.6 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 増収+61% / ROE24% / PER11倍
8706,極東証券,証券、商品先物取引業,36.8,36.8,1,7,★★☆☆☆,0.0,12.0,0,-4.5,0.0,3.3,0.0,12.5,9.0,0.0,0.0,,,0.0,3.0,1.6,6.6,1891,1954.0,2.8,0.5,268,RS転換0日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / RSI過熱(86)⚠ / 増収+66% / PER13倍
4417,グローバルセキュリティエキスパート,情報・通信業,36.7,36.7,1,8,★★☆☆☆,0.0,14.0,0,-1.0,0.0,2.0,0.0,13.7,7.0,0.0,0.0,,,0.0,6.0,5.1,10.4,4494,5000.0,11.1,1.3,251,RS転換0日目 / 25MA上抜け6日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+24% / ROE41%
8418,山口フィナンシャルグループ,銀行業,36.5,36.5,1,9,★★☆☆☆,0.0,14.0,0,1.5,0.0,1.0,0.0,13.5,8.0,0.0,0.0,,,0.0,1.6,2.6,3.7,3034,3201.0,3.1,0.2,1477,RS転換0日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+41% / PER20倍
8338,筑波銀行,銀行業,35.6,31.3,2,10,★★☆☆☆,0.0,16.0,2,6.8,0.0,3.3,0.0,12.0,0.0,0.0,0.0,,,0.0,15.0,4.8,8.1,675,746.0,4.8,0.5,1397,RS転換2日目 / RS加速+6.8 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー
